2013-10-04 19:57;1380896397;552921;;-3
2013-10-04 20:03;1380896403;614866;;-3
2013-10-04 20:10;1380896410;634340;;-3
2013-10-04 20:17;1380896417;555695;;1
2013-10-04 20:20;1380896420;368703;;-3
2013-10-04 20:24;1380896424;312169;;1
2013-10-04 20:31;1380896431;522531;;1
2013-10-04 20:34;1380896434;41213;;-3
2013-10-04 20:37;1380896437;29671;;1
2013-10-04 20:39;1380896439;212824;;-2
2013-10-04 20:42;1380896442;825653;;1
2013-10-04 20:45;1380896445;172160;;1
2013-10-04 20:48;1380896448;281197;;1
2013-10-04 20:50;1380896450;67376;;1
2013-10-04 20:50;1380896450;67376;;10
