2013-10-04 25:03;1380896703;419702;;1
2013-10-04 25:05;1380896705;668944;;1
2013-10-04 25:08;1380896708;378210;;1
2013-10-04 25:11;1380896711;947302;;-2
2013-10-04 25:16;1380896716;55995;;-3
2013-10-04 25:18;1380896718;780972;;1
2013-10-04 25:20;1380896720;767076;;-3
2013-10-04 25:23;1380896723;356229;;-2
2013-10-04 25:27;1380896727;166203;;1
2013-10-04 25:29;1380896729;182253;;-2
2013-10-04 25:32;1380896732;896208;;-3
2013-10-04 25:35;1380896735;220579;;1
2013-10-04 25:36;1380896736;973130;;1
2013-10-04 25:38;1380896738;196745;;1
2013-10-04 25:38;1380896738;196745;;10
