2013-10-04 22:42;1380896562;592287;;1
2013-10-04 22:43;1380896563;618453;;1
2013-10-04 22:44;1380896564;612309;;1
2013-10-04 22:48;1380896568;444799;;-3
2013-10-04 22:51;1380896571;571754;;1
2013-10-04 22:54;1380896574;117747;;-3
2013-10-04 22:57;1380896577;498478;;-1
2013-10-04 23:00;1380896580;415062;;1
2013-10-04 23:01;1380896581;802550;;-3
2013-10-04 23:04;1380896584;260644;;1
2013-10-04 23:05;1380896585;386783;;-3
2013-10-04 23:08;1380896588;340129;;1
2013-10-04 23:09;1380896589;527429;;1
2013-10-04 23:09;1380896589;527429;;10
